"EnterpriseName","State","District","Pincode","RegistrationDate","CommunicationAddress","NIC5DigitCode","NICDescription"
"MADHUBAN ENGINEERING AND ELECTRICAL WORKS","KARNATAKA","DHARWAD","580011.0","15/07/2021","PLOT NO 2P, KIADB INDUSTRIAL AREA BELUR, PRAJAWANI ROAD, PLOT NO 2P, BELUR, DHARWAD","27104","Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; similar apparatus (including relays, sockets etc.) for a voltage not exceeding 1000 volts; boards, panels, consoles, cabinets and other bases equipped with two or more of the above apparatus for electricity control or distribution of electricity including power capacitors.)"
"S V ARTS","KARNATAKA","BENGALURU (RURAL)","562114.0","15/07/2021","01 AMEEN COMPLEX, NEXT TO SADHANA THEATRE, MADRAS ROAD, 01 AMEEN COMPLEX, OLD, BANGALORE","27103","Manufacture of electric motors (except internal combustion engine starting motors)"
"M/S FIMA SIGNAGE CONSULTANCY","KARNATAKA","BENGALURU (URBAN)","560047.0","16/07/2021","No.41,, Austin Town,, Linden Street, No.41,, -, Bangalore","32909","Manufacture of other articles n.e.c."
"M/S SSVK SMITH TECHNOLOGIES","KARNATAKA","BENGALURU (URBAN)","560058.0","23/02/2021","No B-137/B, SSVK SMITH TECHNOLOGIES, 3rd Cross, No B-137/B, 1st Stage, Bangalore","28299","Manufacture of other special-purpose machinery n.e.c."
"AMARESHWAR GENERAL STORES","KARNATAKA","DHARWAD","580031.0","23/02/2021","NO 46, MRUTUNJAYA LAYOUT, HUBLI, NO 46, VIDYANAGAR, HUBLI","10799","Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
"M/S URBAN FASHION FACTORY","KARNATAKA","BENGALURU (URBAN)","560058.0","23/02/2021","No. V-52, URBAN FASHION FACTORY, 7TH MAIN ROAD,, No. V-52, PEENYA 2ND STAGE, BANGALAORE","14109","Manufacture of wearing apparel n.e.c."
"KUMAR FURNITURE","KARNATAKA","YADGIR","585214.0","21/09/2021","20, KUMAR FURNITURE, GURUMATKAL, 20, LAXMINAGAR, YADGIRI","31009","Manufacture of other furniture n.e.c."
"SHRI SAIRAJ INDUSTRIES","KARNATAKA","BELAGAVI","590008.0","14/07/2021","SY NO 353/4, 4TH CROSS, KHANAPUR ROAD, SY NO 353/4, BRAMHA NAGAR, BELGAUM","28299","Manufacture of other special-purpose machinery n.e.c."
"GLOBAL SHINE FACILITIES SERVICES","KARNATAKA","BELAGAVI","591216.0","21/09/2021","GAT No.20B,, TPC No.5049 C, ICO Road, GAT No.20B,, Borgaon, Borgaon","13121","Weaving, manufacture of cotton and cotton mixture fabrics."
"SLV Minerals","KARNATAKA","KOLAR","563130.0","21/10/2020","SY No 1/p7, Karinayakanahalli village, Malur Taluk, SY No 1/p7, Bavanahalli Post, kolar","11043","Manufacture of mineral water"
"BASHA PROVISION STORE","KARNATAKA","BENGALURU (URBAN)","560026.0","21/10/2020","NO.15 1ST CROSS, 5TH MAIN, BANGALORE, NO.15 1ST CROSS, PADARAYANAPURA, BANGALORE","32909","Manufacture of other articles n.e.c."
"Avinash Mobile Galexy","KARNATAKA","BELAGAVI","591244.0","21/10/2020","1906, SHOP NO 24, MAIN ROAD, 1906, SHOP NO 24, EXAMBA","26305","Manufacture of pagers, cellular phones and other mobile communication equipment"
"V B IYENGAR CAKE & SWEETS SAGAR","KARNATAKA","MYSURU","571103.0","11/06/2021","BILIKERE HOBLI, HUNSUR TALLUK, HUNSUR TALLUK, BILIKERE HOBLI, BILIKERE HOBLI, HUNSUR","10712","Manufacture of biscuits, cakes, pastries, rusks etc."
"FABULOUS DESIGNS & CREATIONS","KARNATAKA","BENGALURU (URBAN)","560091.0","11/06/2021","NO. 9,, FABULOUS, DODDANNA INDUSTRY, NO. 9,, 16TH, BANGALORE","28199","Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including manufacture of parts and accessories for general purpose machinery and equipment.)"
"ARUNACHALA AGENCIES","KARNATAKA","BENGALURU (URBAN)","560090.0","11/06/2021","NO 02, 0, II ND CROSS, NO 02, NANJAPPAREDDY LAYOUT, BENGALURU","27400","Manufacture of electric lighting equipment"
"M/S DURASUN SOLAR SOLUTIONS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560064.0","11/06/2021","Shop No. 4, Chokkanahalli OPPOSITE KNS INSTITUTE OF TECHNOLOGY, -, Shop No. 4, -, BANGALURU","27900","Manufacture of other electrical equipment"
"Shree Gowree Collections","KARNATAKA","BENGALURU (URBAN)","560070","15/09/2020","No.243,Ground Floor, Near Aishwarya Ganapathi Temple, 3rd Cross, No.243,Ground Floor, C.T.BED, Bengaluru","14201","Manufacture of wearing apparel and clothing accessories made of fur"
"SHREE JAGADDGURU MOUNESHWAR ALUMINIUM GALSS & PALWOOD CENTRE","KARNATAKA","BELAGAVI","591265","15/09/2020","TELSANG, NEAR AMBEDKAR CIRCLE, NEAR AMBEDKAR CIRCLE, TELSANG, TELSANG, BELGAUM","23109","Manufacture of other glassware/ glass proudcts: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c"
"SOMESHWARA ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560010","15/09/2020","No.178, ,, Rajajinagar, No.178, 69th Cross, 5th Block, Bengaluru","18112","Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
"M/S THE PRESTIGE","KARNATAKA","DHARWAD","580030","15/09/2020","48, Sanman Colony, Gokul Road, 48, Gokul, Hubli","27900","Manufacture of other electrical equipment"
"JANAPRIYA BAKERY AND GENERAL STORE","KARNATAKA","UDUPI","574118.0","05/03/2021","5-8, GUDDEANGADI, GUDDEANGADI, 5-8, UDYAVARA, UDYAVARA","10719","Manufacture of other bakery products n.e.c."
"Ajmal pasha","KARNATAKA","BENGALURU (URBAN)","562122","15/09/2020","291, Hindiganala, Masjid main road, 291, 2nd block, Banglore","13999","Manufacture of other textiles/textile products n.e.c."
"Om Shree Garments","KARNATAKA","BENGALURU (URBAN)","560078","15/09/2020","Shop no 7&8, maruthi Complex 5th main road, KOTHANUR dinne main road, Shop no 7&8, Jp nagar 8th phase, Bangalore","13999","Manufacture of other textiles/textile products n.e.c."
"manjila sweeats condiments","KARNATAKA","BENGALURU (URBAN)","560064","15/09/2020","124, manjjila sweets condiments, 5th cross 3rd main road, 124, 3, yelhanka","10733","Manufacture of sugar confectionery (except sweetmeats)"
"GREENWICH VEGETABLES AND FRUITS","KARNATAKA","BENGALURU (URBAN)","560075","15/09/2020","238/A, Jagdishnagar next shijitbakery, 8th class Road, 238/A, 0, Bangalore","10309","Preservation of fruit and vegetables n.e.c."
"Seethabaireshwara Power lums","KARNATAKA","CHIKBALLAPUR","563125.0","15/09/2020","Timmasandra, Ward No 31, Konappalli Road, Timmasandra, Timmasandra, Chintamani","14101","Manufacture of all types of textile garments and clothing accessories"
"GARMENTS","KARNATAKA","BENGALURU (URBAN)","560029.0","15/09/2020","104/2/17, MAIN ROAD, ., 104/2/17, D R C POST, BANGALORE","14101","Manufacture of all types of textile garments and clothing accessories"
"PRASHANTH CLOTH CENTRE","KARNATAKA","DAVANGERE","577002","16/09/2020","201/9-10, Maheshwarappa Building, Ashok Road, 201/9-10, 0, Davangere","13999","Manufacture of other textiles/textile products n.e.c."
"M/S ACETECH","KARNATAKA","BENGALURU (URBAN)","560058","17/09/2020","B - 226, ,, 4TH CROSS, B - 226, 1STAGE, BANGALORE","28132","Manufacture of other pumps, compressors, taps and valves etc."
"Kalpataru coconut products","KARNATAKA","UTTAR KANNAD","581344","17/09/2020","#50, keshavalli, keshavalli, #50, achave, ankola","10402","Manufacture of vegetable oils and fats excluding corn oil"
"HANUMAN FASHIONS","KARNATAKA","BALLARI","583101","17/09/2020","Door no.50,ward no.5, Chennakesava nilayam, Gowlarahathi, Door no.50,ward no.5, 3 Block, Bellary","14101","Manufacture of all types of textile garments and clothing accessories"
"N S V ENTERPRISES","KARNATAKA","MYSURU","571302.0","09/03/2021","THANDYA 2ND PHASE, THANDYA INDL AREA, NANJANGUD, THANDYA 2ND PHASE, NANJANGUD, THANDYA 2ND PHASE","23934","Manufacture of electrical insulators and insulating fittings of ceramics"
"YUNUS BEPARI BEEF MUTTON SHOP GOKAK","KARNATAKA","BELAGAVI","591307.0","13/06/2021","3779, ISAK BUILDING, SUNAGAR GALLI, 3779, SUNAGAR GALLI, GOKAK","10102","Beef-slaughtering, preparation"
"SHREE LAKSHMI PRECISION TOOLS","KARNATAKA","BENGALURU (URBAN)","560058.0","23/08/2021","NO 51/16, 4TH CROSS, THIGALARAPALYA MAIN ROAD, NO 51/16, BALAJINAGAR, PEENYA 3RD STAGE, BANGALORE","28170","Manufacture of office machinery and equipment"
"KRISHNA MURTHY LAKSHMI VENKATESHWARA FOLUUR RICE MILL","KARNATAKA","KOLAR","563114.0","23/08/2021","BUDIKOTE, BUDIKOTE, BUDIKOTE, BUDIKOTE, BUDIKOTE, BUDIKOTE","10612","Rice milling"
"NANDINI HOSIERIES","KARNATAKA","BENGALURU (URBAN)","560053.0","09/03/2021","NO 479/5, KALANIDHI COMPLEX, BENGALURU, NO 479/5, CHICKPET MAIN ROAD, BENGALURU","14101","Manufacture of all types of textile garments and clothing accessories"
"SHRI RAVINDRA ASHOK TELI","KARNATAKA","BAGALKOT","587314.0","09/03/2021","SHRI RAVINDRA ASHOK, MARKET LANE, WARD NO.22, SHRI RAVINDRA ASHOK, RABKAVI-BANAHATTI, RABKAVI","13131","Finishing of cotton and blended cotton textiles."
"PARAMESH DURAGAPPA YARAGUDDI","KARNATAKA","BELAGAVI","590005","18/12/2020","HOUSE NO 59, IRAPPA DHAVALI  MALAPRABHA NAGAR, VADAGAON, HOUSE NO 59, 0, BELAGAVI","13124","Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"SHAMALA FANCY STORE","KARNATAKA","SHIVAMOGGA","577301.0","02/02/2021","., SHAMALA FANCY STORE, BADHRAVATHI, ., HALE HOSAMANE, SHIMOGA","14109","Manufacture of wearing apparel n.e.c."
"vegetables vendoor","KARNATAKA","CHIKKAMAGALURU","577548.0","22/07/2021","0125, APMC, APMC ROAD, 0125, 1, KADUR","10307","Canning of fruits and vegetables"
"RY CCTV TECHNOLOGYS","KARNATAKA","BENGALURU (URBAN)","560040.0","22/07/2021","# 54, 1ST MAIN ROAD, ATTIGUPPE, bangalore, # 54, BANGALORE NORTH, Bangalore","26409","Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera)"
"M/s. Priya Exports","KARNATAKA","BELAGAVI","591304.0","23/10/2021","SPL PLOT NO-01(Part), KSSIDC NDUSTRIAL ESTATE, SATTI ROAD ATHANI, SPL PLOT NO-01(Part), SY NO-1079, ATHANI","10306","Manufacture of pickles, chutney etc."
"LUCKY FOODS","KARNATAKA","BENGALURU (URBAN)","560091.0","23/10/2021","NO.215, -, SHANTHIDAMA SCHOOL ROAD, NO.215, CHANAPPA LAYOUT, BENGALURU","10711","Manufacture of bread"
"DIVYA LADIES TAILOR","KARNATAKA","BENGALURU (RURAL)","560049.0","23/10/2021","MANJANNA BUILDING, RAMAYYA CIRCLE, VIRGONAGAR, MANJANNA BUILDING, CHEEMASANDRA, BANGALORE","13999","Manufacture of other textiles/textile products n.e.c."
"YESU CLOTH CENTER VITLAPURA","KARNATAKA","BALLARI","583115.0","29/06/2022","Ward no 02, 02, Sc colony, Ward no 02, 02, Toranagallu","14101","Manufacture of all types of textile garments and clothing accessories"
"PADMASHRI TRAILORING TRANING CENTER","KARNATAKA","BELAGAVI","590003.0","29/06/2022","01, 02, 03, 01, 02, KITTUR","13111","Preparation and spinning of cotton fiber including blended* cotton"
"Maithri Flex And Banners","KARNATAKA","UDUPI","576213.0","24/02/2022","., LaxshmiKrupa Building, Old Fish Market Road, ., Brahmavara, Brahmavara","18115","Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
"Sri Mookambika Engineering service","KARNATAKA","SHIVAMOGGA","577222","30/04/2021","Plot no 24A, KIADB Industrial Area, 2nd CROSS Machenahalli, Plot no 24A, Shivamogga, Shivamogga","32909","Manufacture of other articles n.e.c."
"SRI MARUTHI ENTERPRISES","KARNATAKA","KOLAR","563101","30/04/2021","308, KODIKANNURU VILLAGE, KOLAR, 308, KOLAR, KOLAR","17092","Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
"Little Fingers","KARNATAKA","BENGALURU (URBAN)","560016.0","27/09/2021","SHOP NO 3 AND 4, Maruthi Complex, Rammurthy Nagar Main Road, SHOP NO 3 AND 4, 46 1, Bengaluru","32409","Manufacture of other games and toys n.e.c"
"M/S EDIGRO AGRO INDUSTRIES PRIVATE LIMITED","KARNATAKA","DAKSHIN KANNAD","575001.0","27/09/2021",", BHARATH BUILDING, HAMPANKATTA, , HAMPANKATTA, MANGALORE","10409","Manufacture of other vegetable oil, animal oil and fats n.e.c"
"RAGHURAMA ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560064.0","27/09/2021","GROUND FLOOR, NO. 26, ADIGANAHALLI, RAJANAKUNTE POST, YELAHANKA, GROUND FLOOR, NO. 26, ADIGANAHALLI, BENGALURU","28132","Manufacture of other pumps, compressors, taps and valves etc."
"UMA AGRO FOODS","KARNATAKA","BENGALURU (RURAL)","560067.0","27/09/2021","NO 180, UMA AGRO FOODS, HOSKOTE TALUK, NO 180, KADUGODI ROAD, BANGALORE","10611","Flour milling"
"M/S VINKESH CONSULTANTS PRIVATE LIMITED","KARNATAKA","RAMANAGARA","562109.0","20/07/2021","# 25 PART 9, KIADB INDUSTRIAL ESTATE, SURVEY NO. 135,, # 25 PART 9, -, RAMANAGARA DIST","25999","Manufacture of other fabricated metal products n.e.c."
"KAVERI KIRANA AND GENARAL STORE","KARNATAKA","YADGIR","585287.0","20/07/2021","H NO C A 362, BHEEMARAYANAGUGI, NEAR SHARANBASAVA GUDI, H NO C A 362, BHEEMARAYANAGUGI, SHAHAPUR","10796","Manufacture of papads, appalam and similar food products"
"SHAILA ENTERPRISES","KARNATAKA","VIJAYAPURA","586122.0","20/07/2021","Hittinhalli, Hittinhalli, Hittinhalli, Hittinhalli, Hittinhalli, Hittinhalli","10799","Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
"CHINIWAL REDIMADE GARMENTS JAMKHANDI","KARNATAKA","BAGALKOT","587301.0","30/01/2021","00, KADASIDDESHWAR COLONY, JAMKHANDI, 00, JAMKHANDI, JAMKHANDI","14101","Manufacture of all types of textile garments and clothing accessories"
"MAHA SILK & SAREES","KARNATAKA","BENGALURU (URBAN)","560091.0","27/09/2021","NO 60, ADILAKSHMI, KEMPEGOWDA NAGAR, NO 60, 2N CROSS, BANGALORE","13122","Weaving, manufacture of silk and silk mixture fabrics."
"Md Nabisab","KARNATAKA","BIDAR","585327.0","27/09/2021","298, Nabisab Towar, Main Road, 298, Narayanpur, Basavakalyan","29102","Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc."
"NOORANI   TAILOR  AND GARMENTS","KARNATAKA","DAKSHIN KANNAD","574219.0","27/09/2021","13-357/H, MASTER COMPLEX  MAIN  ROAD BC ROAD, BC ROAD, 13-357/H, 13, BANTWAL","14105","Custom tailoring"
"R.R POLYPACK","KARNATAKA","BENGALURU (URBAN)","560079.0","30/01/2021","NO 65/2, KAVERIPURA, 4TH MAIN, NO 65/2, 6TH CROSS, BANGALORE","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"MAHAGANESH BED WORK","KARNATAKA","DAKSHIN KANNAD","574211.0","22/12/2021","10-1, ALAIN COMPLAX, LORETO, 10-1, BANTWAL, BANTWAL","13924","Manufacture of bedding, quilts pillows, sleeping bags etc."
"SACHIN S KUMASHI","KARNATAKA","VIJAYAPURA","586104.0","22/12/2021","APMC YARD, C/O B S KUMASHI, APMC YARD, APMC YARD, APMC YARD, VIJAYAPUR","20238","Manufacture of “agarbatti” and other preparations which operate by burning"
"SHANKARALINGESHWARA AUTOMOBILES","KARNATAKA","YADGIR","585214.0","14/07/2021","SHOP NO 10 AND 16, AUTOMOBILES, MAIN ROAD, SHOP NO 10 AND 16, COMPLEX, GURUMITIKAL","19209","Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
"TAMBOLI COLLECTION","KARNATAKA","BELAGAVI","591213.0","14/07/2021","163, MANAJARI, MANAJARI, 163, MANAJARI, MANAJARI","14101","Manufacture of all types of textile garments and clothing accessories"
"SHIVAKUMAR POWER LOOMS","KARNATAKA","BENGALURU (RURAL)","561203.0","14/07/2021","NO 113, KURUBARAHALLI, DODDABALLAPUR, NO 113, DODDABALLAPUR, DODDABALLAPUR","13122","Weaving, manufacture of silk and silk mixture fabrics."
"AS TRADERS","KARNATAKA","BENGALURU (RURAL)","561203.0","13/12/2021","3045, Kumbar pete, Kumbar pete, 3045, 0, Doddaballapura","15201","Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
"DANESHWARI TEXTILES","KARNATAKA","BELAGAVI","591243","30/09/2021","H.NO.20B, -, MARUTI ROAD, H.NO.20B, -, HATTARAGI","13124","Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"Sri Krishna Power Looms","KARNATAKA","BENGALURU (URBAN)","562106.0","13/06/2022","#5/A, 5th Ward, Vivers Colony, #5/A, 1st cross, Bangalore","13122","Weaving, manufacture of silk and silk mixture fabrics."
"Sree Guru Trading Company","KARNATAKA","CHITRADURGA","577501.0","12/12/2021","0, Sree Guru Trading Company, E and F Block APMC YARD, 0, Chitradurga, Chitradurga","10799","Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
"SUMIT TAILOR SHOP (DASHARATH KAMBLE)","KARNATAKA","BELAGAVI","591108","30/09/2021","H NO 474, AMBEDKAR GALLI, AMBEDKAR GALLI, H NO 474, AMBEDKAR GALLI, BELAGAVI","14105","Custom tailoring"
"ANJANADRI CEMENT BRICKS INDUSTRY","KARNATAKA","BALLARI","583116","30/09/2021","PLOT NO 602/5, KAMPLI MAIN ROAD, KAMPLI MAIN ROAD, PLOT NO 602/5, PLOT NO 602/5, Kurugodu","23912","Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
"ZOHA LADIES TAILOR AND STATIONARY","KARNATAKA","BELAGAVI","591317","30/09/2021","RAIBAG, RAIBAG, RAIBAG, RAIBAG, RAIBAG, RAIBAG","14105","Custom tailoring"
"M/S RUDRESHWARA HOME INDUSTRIES","KARNATAKA","TUMAKURU","572220","26/04/2021","Manchihalli, Manchihalli, Gubbi Taluk, Manchihalli, Kasaba Hobli, Tumakuru","16212","Manufacture of particle board and fibreboard including densified wood"
"A K SAFEENA","KARNATAKA","KODAGU","571211","26/04/2021","NA, C/O N M SIRAJUDDIN, R R ROAD, NA, 2, VIRAJPET","13139","Other activities relating to finishing of textile n.e.c."
"M/S EDUSESHUK AI PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560043.0","18/07/2021","355, EDUSESHUK AI PRIVATE LIMITED, BENGALURU, 355, BABUSAPALYA, BANGALORE","26101","Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components"
"MAHAMMAD ALTHAF R G","KARNATAKA","DAKSHIN KANNAD","574160.0","22/09/2021","2-87/A, RENJADY, DERLAKTTE, 2-87/A, BELMA, MANGALORE","30115","Construction of floating structures ( floating docks, pontoons, coffer-dams, floating landing stages, buoys, floating tanks, barges, lighters, floating cranes, non-recreational inflatable rafts etc.)"
"VISHNU ENTERPRISES","KARNATAKA","MYSURU","570017.0","26/01/2021","NO.12213, 4TH STAGE, VIJAYANAGAR 2ND STAGE, NO.12213, 2ND PHASE, MYSORE","23955","Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering"
"PAWAR WHOLESALER SHOE BUSINESS PROPRIETOR VIKAS VILAS PAWAR","KARNATAKA","BELAGAVI","590003.0","25/01/2021","H NO. 182, CHAMBAR GALLI, SHAHAPUR, H NO. 182, NATH PAI CIRCLE, BELGAUM","15201","Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
"M U fashion","KARNATAKA","MANDYA","571405.0","14/07/2021","No 1, M U fashion, Melkote road, No 1, V C faram, Mandya","13999","Manufacture of other textiles/textile products n.e.c."
"Srinivas Xerox Enterprises","KARNATAKA","BENGALURU (RURAL)","562110.0","14/07/2021","Shop No 1, Muncipalty Building, New Bus stand, Shop No 1, 1, Devanahalli","18129","Other service activities related to printing n.e.c."
"HMS Floor Mill and Wet Grinder","KARNATAKA","BENGALURU (URBAN)","560045.0","22/09/2021","1st Main Road, Umar Nagar, Nagawara, 1st Main Road, 1st Main Road, Bangalore","10611","Flour milling"
"Kuberan Enterprises","KARNATAKA","BENGALURU (RURAL)","560077.0","22/09/2021","68,, behind school building, 1st Cross, 68,, Kaveri Nagar, Bangalore","18112","Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
"A V S GROUPS","KARNATAKA","MYSURU","571103.0","22/09/2021","SY NO. 207/5, A V S GROUPS, HUNSUR TALUK, SY NO. 207/5, BILIKERE HOBLI, MYSURU","23921","Manufacture of bricks"
"SANTHOSH FANI","KARNATAKA","GADAG","582116.0","22/09/2021","02, AKKIGUND, NEAR BUS STAND, 02, 1, LAXMESHWAR","32909","Manufacture of other articles n.e.c."
"G P T ENGINEERING","KARNATAKA","BENGALURU (URBAN)","560099.0","22/09/2021","NO.33,SHED NO.3, 3ND CROSS,, KANNIGA NAGAR,, NO.33,SHED NO.3, NEAR TATA MOTORS SERVICE CENTE, BENGALURU","28140","Manufacture of bearings, gears, gearing and driving elements"
"Pintmagic","KARNATAKA","BENGALURU (URBAN)","560103.0","31/01/2021","B-502, Adarsh Palm retreat, RMZ ecoworld, B-502, Tower-4, Bougainvillea, Bengaluru","14101","Manufacture of all types of textile garments and clothing accessories"
"M/s Sheshu Industries","KARNATAKA","BENGALURU (URBAN)","560099.0","31/01/2021","Plot No. 25, M/s Sheshu Industries, Bommasandra-Jigni Main Road,, Plot No. 25, Bommasandra 2nd Stage, Bangalore","25999","Manufacture of other fabricated metal products n.e.c."
"GURURAJ","KARNATAKA","KOPPAL","583278","23/04/2021","WARD NO 03, KUNAGI BUILDING, NERA BUSTAND, WARD NO 03, KUSTAGI, KUSTAGI","13121","Weaving, manufacture of cotton and cotton mixture fabrics."
"Yeshvika Enterprises","KARNATAKA","BENGALURU (URBAN)","560036.0","17/07/2021","#66, Veeraraghava Nivas, KR Puram, #66, 5th Cross, Bengaluru","10305","Manufacture of sauces, jams, jellies and marmalades"
"Shanti Chem Corporation","KARNATAKA","BENGALURU (URBAN)","562130.0","27/01/2021","No.47/2B, Opp.Vani International School, Magadi Main Road, No.47/2B, 0, Bangalore","20299","Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)"
"M/S ADTEC ELECTRONIC INSTRUMENTS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560076.0","27/01/2021","563/1, Prerana Towers, Ranka Colony Road, 563/1, bilekahalli, Bengaluru","26103","Manufacture of integrated circuits (analog, digital or hybrid)"
"JAHEDABNU KILLEDAR","KARNATAKA","DHARWAD","580006.0","27/01/2021","1, AADI SHAKTI COLONY, MADIHAL, 1, NA, DHARWAD","14105","Custom tailoring"
