enterprise_id,nic2_division,byproduct_name,waste_ratio_pct,qty_annual_tonnes_estimated,unit,district,source_citation
KA-ENT-000044,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000044,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000045,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,MYSURU,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000045,23,Kiln Fly Ash,3.0,3.0,tonnes/year,MYSURU,GIZ Clean Brick Kiln Report
KA-ENT-000046,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,BENGALURU (URBAN),"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000046,25,Machining Swarf,12.0,12.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000046,25,Mill Scale,10.0,10.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000047,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,KOPPAL,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000047,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,KOPPAL,FAO Agricultural Services Bulletin 136
KA-ENT-000048,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000048,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000049,10,Rice Husk,20.0,20.0,tonnes/year,SHIVAMOGGA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000049,10,Rice Bran,10.0,10.0,tonnes/year,SHIVAMOGGA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000050,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,MYSURU,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000050,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,MYSURU,FAO Agricultural Services Bulletin 136
KA-ENT-000051,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,BAGALKOT,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000051,25,Machining Swarf,12.0,12.0,tonnes/year,BAGALKOT,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000051,25,Mill Scale,10.0,10.0,tonnes/year,BAGALKOT,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000052,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (RURAL),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000052,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (RURAL),FAO Agricultural Services Bulletin 136
KA-ENT-000053,10,Rice Husk,20.0,20.0,tonnes/year,KODAGU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000053,10,Rice Bran,10.0,10.0,tonnes/year,KODAGU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000054,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,BENGALURU (URBAN),"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000054,25,Machining Swarf,12.0,12.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000054,25,Mill Scale,10.0,10.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000055,10,Rice Husk,20.0,20.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000055,10,Rice Bran,10.0,10.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000056,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,RAMANAGARA,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000056,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,RAMANAGARA,FAO Agricultural Services Bulletin 136
KA-ENT-000057,10,Rice Husk,20.0,20.0,tonnes/year,HASSAN,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000057,10,Rice Bran,10.0,10.0,tonnes/year,HASSAN,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000058,16,Sawdust,25.0,25.0,tonnes/year,RAMANAGARA,IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000058,16,Wood Bark,12.0,12.0,tonnes/year,RAMANAGARA,IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000058,16,Wood Offcuts,24.0,24.0,tonnes/year,RAMANAGARA,IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000059,10,Rice Husk,20.0,20.0,tonnes/year,DAKSHIN KANNAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000059,10,Rice Bran,10.0,10.0,tonnes/year,DAKSHIN KANNAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000060,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,BENGALURU (URBAN),"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000060,25,Machining Swarf,12.0,12.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000060,25,Mill Scale,10.0,10.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000061,10,Rice Husk,20.0,20.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000061,10,Rice Bran,10.0,10.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000062,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,GADAG,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000062,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,GADAG,FAO Agricultural Services Bulletin 136
KA-ENT-000063,10,Rice Husk,20.0,20.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000063,10,Rice Bran,10.0,10.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000064,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (RURAL),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000064,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (RURAL),FAO Agricultural Services Bulletin 136
KA-ENT-000065,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (URBAN),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000065,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (URBAN),FAO Agricultural Services Bulletin 136
KA-ENT-000066,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,HAVERI,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000066,23,Kiln Fly Ash,3.0,3.0,tonnes/year,HAVERI,GIZ Clean Brick Kiln Report
KA-ENT-000067,10,Rice Husk,20.0,20.0,tonnes/year,HAVERI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000067,10,Rice Bran,10.0,10.0,tonnes/year,HAVERI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000068,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BENGALURU (URBAN),Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000068,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BENGALURU (URBAN),FAO Agricultural Services Bulletin 136
KA-ENT-000069,10,Rice Husk,20.0,20.0,tonnes/year,MYSURU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000069,10,Rice Bran,10.0,10.0,tonnes/year,MYSURU,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000070,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,BAGALKOT,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000070,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,BAGALKOT,FAO Agricultural Services Bulletin 136
KA-ENT-000071,10,Rice Husk,20.0,20.0,tonnes/year,VIJAYAPURA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000071,10,Rice Bran,10.0,10.0,tonnes/year,VIJAYAPURA,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000072,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,CHIKBALLAPUR,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000072,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,CHIKBALLAPUR,FAO Agricultural Services Bulletin 136
KA-ENT-000073,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,DAKSHIN KANNAD,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000073,23,Kiln Fly Ash,3.0,3.0,tonnes/year,DAKSHIN KANNAD,GIZ Clean Brick Kiln Report
KA-ENT-000074,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000074,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000075,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000075,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000076,16,Sawdust,25.0,25.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000076,16,Wood Bark,12.0,12.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000076,16,Wood Offcuts,24.0,24.0,tonnes/year,BENGALURU (URBAN),IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000077,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,SHIVAMOGGA,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000077,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,SHIVAMOGGA,FAO Agricultural Services Bulletin 136
KA-ENT-000078,10,Rice Husk,20.0,20.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000078,10,Rice Bran,10.0,10.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000079,10,Rice Husk,20.0,20.0,tonnes/year,RAICHUR,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000079,10,Rice Bran,10.0,10.0,tonnes/year,RAICHUR,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000080,16,Sawdust,25.0,25.0,tonnes/year,BENGALURU (RURAL),IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000080,16,Wood Bark,12.0,12.0,tonnes/year,BENGALURU (RURAL),IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000080,16,Wood Offcuts,24.0,24.0,tonnes/year,BENGALURU (RURAL),IEDC Dataset 412 / Broman & Fredriksson (2015)
KA-ENT-000081,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,HASSAN,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000081,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,HASSAN,FAO Agricultural Services Bulletin 136
KA-ENT-000082,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,DAVANGERE,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000082,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,DAVANGERE,FAO Agricultural Services Bulletin 136
KA-ENT-000083,23,Broken/Rejected Bricks (Grog),7.0,7.0,tonnes/year,BIDAR,GIZ Clean Brick Kiln Report; Construction & Building Materials DOI:10.1016/j.conbuildmat.2014.07.037
KA-ENT-000083,23,Kiln Fly Ash,3.0,3.0,tonnes/year,BIDAR,GIZ Clean Brick Kiln Report
KA-ENT-000084,13,Fabric Cutting Waste,15.0,15.0,tonnes/year,TUMAKURU,Ellen MacArthur Foundation — A New Textiles Economy (2017)
KA-ENT-000084,13,Silk Noil / Reeling Waste,25.0,25.0,tonnes/year,TUMAKURU,FAO Agricultural Services Bulletin 136
KA-ENT-000085,10,Rice Husk,20.0,20.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000085,10,Rice Bran,10.0,10.0,tonnes/year,DHARWAD,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000086,25,Sheet Metal Scrap,22.0,22.0,tonnes/year,DHARWAD,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A DOI:10.1098/rsta.2023.0135"
KA-ENT-000086,25,Machining Swarf,12.0,12.0,tonnes/year,DHARWAD,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000086,25,Mill Scale,10.0,10.0,tonnes/year,DHARWAD,IEDC Dataset 439 / Allwood & Music (2024)
KA-ENT-000087,10,Rice Husk,20.0,20.0,tonnes/year,DAVANGERE,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000087,10,Rice Bran,10.0,10.0,tonnes/year,DAVANGERE,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000088,10,Rice Husk,20.0,20.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000088,10,Rice Bran,10.0,10.0,tonnes/year,BELAGAVI,IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000089,10,Rice Husk,20.0,20.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
KA-ENT-000089,10,Rice Bran,10.0,10.0,tonnes/year,BENGALURU (URBAN),IRRI Rice Knowledge Bank — Milling & Processing
