enterprise_id,enterprise_name,district,district_hq_lat,district_hq_lon,pincode,nic5_code,nic2_division,nic_description,registration_date,communication_address
KA-ENT-000011,,UDUPI,13.3409,74.7421,574118.0,10719,10,Manufacture of other bakery products n.e.c.,05/03/2021,"5-8, GUDDEANGADI, GUDDEANGADI, 5-8, UDYAVARA, UDYAVARA"
KA-ENT-000012,,BENGALURU (URBAN),12.9716,77.5946,562122,13999,13,Manufacture of other textiles/textile products n.e.c.,15/09/2020,"291, Hindiganala, Masjid main road, 291, 2nd block, Banglore"
KA-ENT-000013,,BENGALURU (URBAN),12.9716,77.5946,560078,13999,13,Manufacture of other textiles/textile products n.e.c.,15/09/2020,"Shop no 7&8, maruthi Complex 5th main road, KOTHANUR dinne main road, Shop no 7&8, Jp nagar 8th phase, Bangalore"
KA-ENT-000014,,BENGALURU (URBAN),12.9716,77.5946,560064,10733,10,Manufacture of sugar confectionery (except sweetmeats),15/09/2020,"124, manjjila sweets condiments, 5th cross 3rd main road, 124, 3, yelhanka"
KA-ENT-000015,,BENGALURU (URBAN),12.9716,77.5946,560075,10309,10,Preservation of fruit and vegetables n.e.c.,15/09/2020,"238/A, Jagdishnagar next shijitbakery, 8th class Road, 238/A, 0, Bangalore"
KA-ENT-000016,,DAVANGERE,14.4644,75.9218,577002,13999,13,Manufacture of other textiles/textile products n.e.c.,16/09/2020,"201/9-10, Maheshwarappa Building, Ashok Road, 201/9-10, 0, Davangere"
KA-ENT-000017,,UTTAR KANNAD,14.8013,74.1288,581344,10402,10,Manufacture of vegetable oils and fats excluding corn oil,17/09/2020,"#50, keshavalli, keshavalli, #50, achave, ankola"
KA-ENT-000018,,MYSURU,12.2958,76.6394,571302.0,23934,23,Manufacture of electrical insulators and insulating fittings of ceramics,09/03/2021,"THANDYA 2ND PHASE, THANDYA INDL AREA, NANJANGUD, THANDYA 2ND PHASE, NANJANGUD, THANDYA 2ND PHASE"
KA-ENT-000019,,BELAGAVI,15.8497,74.4977,591307.0,10102,10,"Beef-slaughtering, preparation",13/06/2021,"3779, ISAK BUILDING, SUNAGAR GALLI, 3779, SUNAGAR GALLI, GOKAK"
KA-ENT-000020,,KOLAR,13.1359,78.1294,563114.0,10612,10,Rice milling,23/08/2021,"BUDIKOTE, BUDIKOTE, BUDIKOTE, BUDIKOTE, BUDIKOTE, BUDIKOTE"
KA-ENT-000021,,BAGALKOT,16.1833,75.7,587314.0,13131,13,Finishing of cotton and blended cotton textiles.,09/03/2021,"SHRI RAVINDRA ASHOK, MARKET LANE, WARD NO.22, SHRI RAVINDRA ASHOK, RABKAVI-BANAHATTI, RABKAVI"
KA-ENT-000022,,BELAGAVI,15.8497,74.4977,590005,13124,13,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",18/12/2020,"HOUSE NO 59, IRAPPA DHAVALI  MALAPRABHA NAGAR, VADAGAON, HOUSE NO 59, 0, BELAGAVI"
KA-ENT-000023,,CHIKKAMAGALURU,13.3161,75.772,577548.0,10307,10,Canning of fruits and vegetables,22/07/2021,"0125, APMC, APMC ROAD, 0125, 1, KADUR"
KA-ENT-000024,,BELAGAVI,15.8497,74.4977,591304.0,10306,10,"Manufacture of pickles, chutney etc.",23/10/2021,"SPL PLOT NO-01(Part), KSSIDC NDUSTRIAL ESTATE, SATTI ROAD ATHANI, SPL PLOT NO-01(Part), SY NO-1079, ATHANI"
KA-ENT-000025,,BENGALURU (URBAN),12.9716,77.5946,560091.0,10711,10,Manufacture of bread,23/10/2021,"NO.215, -, SHANTHIDAMA SCHOOL ROAD, NO.215, CHANAPPA LAYOUT, BENGALURU"
KA-ENT-000026,,BENGALURU (RURAL),13.1986,77.7066,560049.0,13999,13,Manufacture of other textiles/textile products n.e.c.,23/10/2021,"MANJANNA BUILDING, RAMAYYA CIRCLE, VIRGONAGAR, MANJANNA BUILDING, CHEEMASANDRA, BANGALORE"
KA-ENT-000027,,BELAGAVI,15.8497,74.4977,590003.0,13111,13,Preparation and spinning of cotton fiber including blended* cotton,29/06/2022,"01, 02, 03, 01, 02, KITTUR"
KA-ENT-000028,,DAKSHIN KANNAD,12.9141,74.856,575001.0,10409,10,"Manufacture of other vegetable oil, animal oil and fats n.e.c",27/09/2021,", BHARATH BUILDING, HAMPANKATTA, , HAMPANKATTA, MANGALORE"
KA-ENT-000029,,BENGALURU (RURAL),13.1986,77.7066,560067.0,10611,10,Flour milling,27/09/2021,"NO 180, UMA AGRO FOODS, HOSKOTE TALUK, NO 180, KADUGODI ROAD, BANGALORE"
KA-ENT-000030,,RAMANAGARA,12.7157,77.2819,562109.0,25999,25,Manufacture of other fabricated metal products n.e.c.,20/07/2021,"# 25 PART 9, KIADB INDUSTRIAL ESTATE, SURVEY NO. 135,, # 25 PART 9, -, RAMANAGARA DIST"
KA-ENT-000031,,YADGIR,16.7658,77.1381,585287.0,10796,10,"Manufacture of papads, appalam and similar food products",20/07/2021,"H NO C A 362, BHEEMARAYANAGUGI, NEAR SHARANBASAVA GUDI, H NO C A 362, BHEEMARAYANAGUGI, SHAHAPUR"
KA-ENT-000032,,VIJAYAPURA,16.8302,75.71,586122.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",20/07/2021,"Hittinhalli, Hittinhalli, Hittinhalli, Hittinhalli, Hittinhalli, Hittinhalli"
KA-ENT-000033,,BENGALURU (URBAN),12.9716,77.5946,560091.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",27/09/2021,"NO 60, ADILAKSHMI, KEMPEGOWDA NAGAR, NO 60, 2N CROSS, BANGALORE"
KA-ENT-000034,,DAKSHIN KANNAD,12.9141,74.856,574211.0,13924,13,"Manufacture of bedding, quilts pillows, sleeping bags etc.",22/12/2021,"10-1, ALAIN COMPLAX, LORETO, 10-1, BANTWAL, BANTWAL"
KA-ENT-000035,,BENGALURU (RURAL),13.1986,77.7066,561203.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",14/07/2021,"NO 113, KURUBARAHALLI, DODDABALLAPUR, NO 113, DODDABALLAPUR, DODDABALLAPUR"
KA-ENT-000036,,BELAGAVI,15.8497,74.4977,591243,13124,13,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",30/09/2021,"H.NO.20B, -, MARUTI ROAD, H.NO.20B, -, HATTARAGI"
KA-ENT-000037,,BENGALURU (URBAN),12.9716,77.5946,562106.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",13/06/2022,"#5/A, 5th Ward, Vivers Colony, #5/A, 1st cross, Bangalore"
KA-ENT-000038,,CHITRADURGA,14.2251,76.398,577501.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",12/12/2021,"0, Sree Guru Trading Company, E and F Block APMC YARD, 0, Chitradurga, Chitradurga"
KA-ENT-000039,,BALLARI,15.1394,76.9214,583116,23912,23,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods",30/09/2021,"PLOT NO 602/5, KAMPLI MAIN ROAD, KAMPLI MAIN ROAD, PLOT NO 602/5, PLOT NO 602/5, Kurugodu"
KA-ENT-000040,,TUMAKURU,13.3379,77.1173,572220,16212,16,Manufacture of particle board and fibreboard including densified wood,26/04/2021,"Manchihalli, Manchihalli, Gubbi Taluk, Manchihalli, Kasaba Hobli, Tumakuru"
KA-ENT-000041,,KODAGU,12.4243,75.7382,571211,13139,13,Other activities relating to finishing of textile n.e.c.,26/04/2021,"NA, C/O N M SIRAJUDDIN, R R ROAD, NA, 2, VIRAJPET"
KA-ENT-000042,,MYSURU,12.2958,76.6394,570017.0,23955,23,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering,26/01/2021,"NO.12213, 4TH STAGE, VIJAYANAGAR 2ND STAGE, NO.12213, 2ND PHASE, MYSORE"
KA-ENT-000043,,MANDYA,12.5218,76.8951,571405.0,13999,13,Manufacture of other textiles/textile products n.e.c.,14/07/2021,"No 1, M U fashion, Melkote road, No 1, V C faram, Mandya"
KA-ENT-000044,,BENGALURU (URBAN),12.9716,77.5946,560045.0,10611,10,Flour milling,22/09/2021,"1st Main Road, Umar Nagar, Nagawara, 1st Main Road, 1st Main Road, Bangalore"
KA-ENT-000045,,MYSURU,12.2958,76.6394,571103.0,23921,23,Manufacture of bricks,22/09/2021,"SY NO. 207/5, A V S GROUPS, HUNSUR TALUK, SY NO. 207/5, BILIKERE HOBLI, MYSURU"
KA-ENT-000046,,BENGALURU (URBAN),12.9716,77.5946,560099.0,25999,25,Manufacture of other fabricated metal products n.e.c.,31/01/2021,"Plot No. 25, M/s Sheshu Industries, Bommasandra-Jigni Main Road,, Plot No. 25, Bommasandra 2nd Stage, Bangalore"
KA-ENT-000047,,KOPPAL,15.3504,76.1549,583278,13121,13,"Weaving, manufacture of cotton and cotton mixture fabrics.",23/04/2021,"WARD NO 03, KUNAGI BUILDING, NERA BUSTAND, WARD NO 03, KUSTAGI, KUSTAGI"
KA-ENT-000048,,BENGALURU (URBAN),12.9716,77.5946,560036.0,10305,10,"Manufacture of sauces, jams, jellies and marmalades",17/07/2021,"#66, Veeraraghava Nivas, KR Puram, #66, 5th Cross, Bengaluru"
KA-ENT-000049,,SHIVAMOGGA,13.9299,75.5681,577229.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",27/01/2021,"., SHRI RENUKAMBA TRADERS, DONABAGHATTA, ., BILIKI, BHADRAVATHI"
KA-ENT-000050,,MYSURU,12.2958,76.6394,570001.0,13132,13,Finishing of silk and blended silk textiles.,16/07/2021,"NO 2269, SAHARA, SAWDAY ROAD, NO 2269, SAHARA, MYSORE"
KA-ENT-000051,,BAGALKOT,16.1833,75.7,587116.0,25999,25,Manufacture of other fabricated metal products n.e.c.,16/07/2021,"246/18, BALUTI BUILDING, JAMKHANDI BAGALKOT MAIN ROAD, 246/18, BADAGANDI, BADAGANDI"
KA-ENT-000052,,BENGALURU (RURAL),13.1986,77.7066,562122.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",16/07/2021,"00, NELAVAGILU, HOSAKOTE TQ, 00, NELAVAGILU POST, BANGALORE"
KA-ENT-000053,,KODAGU,12.4243,75.7382,571236.0,10792,10,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",16/07/2021,"NO. 20, VISHWESHVARAIAH ROAD, SOMWARPET, NO. 20, -, KODAGU"
KA-ENT-000054,,BENGALURU (URBAN),12.9716,77.5946,560039.0,25999,25,Manufacture of other fabricated metal products n.e.c.,27/01/2021,"NO 34, AZEEZ SAIT IND TOWN, NAYANDAHALLI, NO 34, MYSORE ROAD, BANGALORE"
KA-ENT-000055,,BELAGAVI,15.8497,74.4977,591108.0,10793,10,Processing of edible nuts,21/09/2021,"678, M M MUJAWAR, BELGUNDI, 678, GANAPAT GALLI, BELGAUM"
KA-ENT-000056,,RAMANAGARA,12.7157,77.2819,561101.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",21/09/2021,"203, KISHOR POWERLOOMS, MAHATHMANAGARA, 203, 5TH BLOCK, MAGADI TALUK"
KA-ENT-000057,,HASSAN,13.0068,76.1004,573201.0,10712,10,"Manufacture of biscuits, cakes, pastries, rusks etc.",14/07/2021,"RING ROAD, VB BAKERY, CHIKKAHONNENAHALLI, RING ROAD, CHIKKAHONNENAHALLI, HASSAN"
KA-ENT-000058,,RAMANAGARA,12.7157,77.2819,562138.0,16219,16,Manufacture of other plywood products n.e.c.,28/01/2021,"153, Honganur Village, Near Lakshmidevi Temple, 153, Channapatna, Channapatna"
KA-ENT-000059,,DAKSHIN KANNAD,12.9141,74.856,575022.0,10795,10,Grinding and processing of spices,28/01/2021,"2 145/18, KUMPALA, MURUKATTA,KOTEKAR, MANGALORE D K, 2 145/18, KUMPALA, MANGALORE D K, MANGALORE D K"
KA-ENT-000060,,BENGALURU (URBAN),12.9716,77.5946,560090.0,25999,25,Manufacture of other fabricated metal products n.e.c.,21/01/2021,"No.4, 285/22/20, Banavara Main Road, Abbigere, No.4, 285/22/20, -, Bengaluru"
KA-ENT-000061,,BELAGAVI,15.8497,74.4977,591309,10611,10,Flour milling,28/04/2021,"00, MOKASHI, MADIHALLI, 00, HUKKERI, BELAGAVI"
KA-ENT-000062,,GADAG,15.43,75.62,582101.0,13121,13,"Weaving, manufacture of cotton and cotton mixture fabrics.",29/01/2021,"OLD BUS STAND ROAD, NEAR MAHALAXMI JEEN, GADAG, OLD BUS STAND ROAD, GADAG, GADAG"
KA-ENT-000063,,DHARWAD,15.4589,75.0078,580006.0,10795,10,Grinding and processing of spices,29/01/2021,"0, Surabhi House, Mahanth Nagar, 0, Saudatti Road, Dharwad"
KA-ENT-000064,,BENGALURU (RURAL),13.1986,77.7066,561203.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",15/07/2021,"82, 13TH WARD TERINABEEDI, TERINABEEDI, 82, 0, BANGALORE"
KA-ENT-000065,,BENGALURU (URBAN),12.9716,77.5946,560091.0,13999,13,Manufacture of other textiles/textile products n.e.c.,22/09/2021,"#  55, SRINIVASA  NAGAR, BANGALORE  NORTH, #  55, SUNKADAKATTE, BANGALORE"
KA-ENT-000066,,HAVERI,14.7939,75.4041,581110,23952,23,"Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)",30/09/2021,"#461, Bashettiyavar Sites, Byadagi Road, #461, Haveri, Haveri"
KA-ENT-000067,,HAVERI,14.7939,75.4041,581115.0,10712,10,"Manufacture of biscuits, cakes, pastries, rusks etc.",13/07/2021,"00, GANDHI GALLI, GANDHI GALLI, 00, GANDHI GALLI, RANIBENNUR"
KA-ENT-000068,,BENGALURU (URBAN),12.9716,77.5946,560024.0,13134,13,Finishing of man-made and blended man-made textiles.,13/07/2021,"No 32 5, 17th A cross, Bhuvaneshwari nagar, No 32 5, kempapura, Bangalore"
KA-ENT-000069,,MYSURU,12.2958,76.6394,570008.0,10611,10,Flour milling,13/12/2021,"No. 3 & 8,, Sree Jwalamala Roller Flour Mills, Manandavadi Road, Mysuru South, No. 3 & 8,, Industrial Suburb, Mysuru"
KA-ENT-000070,,BAGALKOT,16.1833,75.7,587120,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",30/09/2021,"NEAR CINEMA TALKIES, KAMATGI, KAMATGI, NEAR CINEMA TALKIES, KAMATGI, KAMATGI"
KA-ENT-000071,,VIJAYAPURA,16.8302,75.71,586120,10722,10,Manufacture of 'gur' from sugarcane,29/09/2021,"2, S/O: Sharanabasappa, Bibi-Ingalgi, Bibi-Ingalgi, 2, Devara Hipparagi, Devara Hipparagi"
KA-ENT-000072,,CHIKBALLAPUR,13.4355,77.7315,562105,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",30/09/2021,"MOHAN S/O M RAMACHAN, VALMIKI NILAYA, JOUGU PETE, MOHAN S/O M RAMACHAN, WARD NO 22, SIDLAGHATTA"
KA-ENT-000073,,DAKSHIN KANNAD,12.9141,74.856,574509,23954,23,Manufacture of R.C.C. bricks and blocks,30/09/2021,"2-40/1-3, ELIZABETH COMPOUND, TENKA YEKKAR, 2-40/1-3, -, MANGALORE"
KA-ENT-000074,,BENGALURU (URBAN),12.9716,77.5946,560060.0,10739,10,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",26/01/2021,"1208, 40th Cross, BDA Layout, 1208, 7th Block, Bengaluru"
KA-ENT-000075,,BENGALURU (URBAN),12.9716,77.5946,560002.0,10505,10,"Manufacture of ice-cream, kulfi etc.",15/07/2021,"173 - 174, ., NEAR CHIKKAMMA DODDAMMA TEMPLE, 173 - 174, ., NT PET MYSORE ROAD"
KA-ENT-000076,,BENGALURU (URBAN),12.9716,77.5946,560102.0,16213,16,Manufacture of flush doors and other boards or panels,15/07/2021,"NO 2797, DEQUALITA, 27TH MAIN ROAD, NO 2797, SECTOR 1, BANGALORE"
KA-ENT-000077,,SHIVAMOGGA,13.9299,75.5681,577419,13924,13,"Manufacture of bedding, quilts pillows, sleeping bags etc.",30/09/2021,"214, Jade, Collage Road, 214, Jade, Shimoga"
KA-ENT-000078,,DHARWAD,15.4589,75.0078,580023.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",13/06/2022,"H NO 8/2, ISHAAN GROUPS, MAIN ROAD, H NO 8/2, 0, ANNIGERI"
KA-ENT-000079,,RAICHUR,16.212,77.3439,584111,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",30/09/2021,"110, Ramanagouda Provisional Stores, Devadurga, 110, Ward-1, Raichur"
KA-ENT-000080,,BENGALURU (RURAL),13.1986,77.7066,561203.0,16219,16,Manufacture of other plywood products n.e.c.,09/02/2022,"NO 130, KOLUR VILLAGE, KASABA HOBLI, NO 130, DODDABALLAPUR, DODDABALLAPUR"
KA-ENT-000081,,HASSAN,13.0068,76.1004,573211.0,13139,13,Other activities relating to finishing of textile n.e.c.,08/02/2022,"LIG 66, WARD NO 17, HOLENARASIPURA TOWN, LIG 66, HOUSING BOARD COLONY, HOLENARASIPURA"
KA-ENT-000082,,DAVANGERE,14.4644,75.9218,577601,13929,13,"Manufacture of other made-up textile articles, except apparel n.e.c.",30/09/2021,"11cross 3TD main roa, Harihara, Harihara, 11cross 3TD main roa, 0, harihara"
KA-ENT-000083,,BIDAR,17.9104,77.5199,585403.0,23955,23,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering,11/12/2021,"#, Muddanna complex, Gandhi gunj, #, #, Bidar"
KA-ENT-000084,,TUMAKURU,13.3379,77.1173,572201.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",17/07/2021,"#65, 1st road, kotenayakanahalli, #65, tiptur, tiptur"
KA-ENT-000085,,DHARWAD,15.4589,75.0078,580031.0,10309,10,Preservation of fruit and vegetables n.e.c.,17/07/2021,"98/26, RAJIV NAGAR, KALIDAS NAGAR, 98/26, UNKAL, HUBLI"
KA-ENT-000086,,DHARWAD,15.4589,75.0078,580114.0,25111,25,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings",23/09/2021,"4, ANNIGERI COMPLEX, OPPOSITE GRAM PANCHAYAT, 4, HIREHONNIHALLI, KALAGHATAGI"
KA-ENT-000087,,DAVANGERE,14.4644,75.9218,577217.0,10611,10,Flour milling,13/06/2022,"106, Sunkadakatte road, 1, 106, 1, Honnali"
KA-ENT-000088,,BELAGAVI,15.8497,74.4977,591302.0,10793,10,Processing of edible nuts,23/02/2021,"SR NO 16, TOPINKATTI, TOPINKATTI, SR NO 16, TOPINKATTI, KHANAPUR"
KA-ENT-000089,,BENGALURU (URBAN),12.9716,77.5946,560068.0,10612,10,Rice milling,01/12/2020,"NO.-C-25, 7TH MILE, BEHIND TRIDENT HYUNDAI, NO.-C-25, HOSUR ROAD, BANGALORE(URBAN)"
KA-ENT-000090,,BELAGAVI,15.8497,74.4977,591211.0,13929,13,"Manufacture of other made-up textile articles, except apparel n.e.c.",23/08/2020,"-, -, MAIN GALLI, -, -, SIDNAL"
KA-ENT-000091,,TUMAKURU,13.3379,77.1173,572114.0,13943,13,Manufacture of cordage or rope made of coir,11/04/2022,"No 118, ., B.H.Road, No 118, ., Tiptur"
KA-ENT-000092,,MYSURU,12.2958,76.6394,570008.0,10501,10,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured),08/02/2022,"#00, Puttaswamygowda, Hullahalli, #00, 00, Mysore"
KA-ENT-000093,,BENGALURU (URBAN),12.9716,77.5946,560078.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",21/09/2021,"-, #522, 12th Main Road, -, 5TH PHASE, JP NAGAR, BANGALORE"
KA-ENT-000094,,DAKSHIN KANNAD,12.9141,74.856,574227.0,10611,10,Flour milling,14/07/2021,"2-78 C, SHRRE NANDHI FLOUR MILL, MOODBIDRI KARKALA MAINROAD, 2-78 C, ALANGAR, MOODBIDRI"
KA-ENT-000095,,BENGALURU (URBAN),12.9716,77.5946,560054,10614,10,"Grain milling other than wheat, rice and dal",14/04/2021,"Ground floor No 33, 1st Cross, Mathikere, Ground floor No 33, 1, BANGALORE"
KA-ENT-000096,,RAMANAGARA,12.7157,77.2819,562127.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",23/01/2021,"10, Motagondanahalli, main Road, 10, 1 St block, magadi"
KA-ENT-000097,,BELAGAVI,15.8497,74.4977,591120.0,25111,25,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings",08/02/2022,"20, Sagare, Sagare, 20, Sagare, Belgaum"
KA-ENT-000098,,DAKSHIN KANNAD,12.9141,74.856,574231.0,10792,10,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",08/02/2022,"MITHUMAJALU, SAJIPAMUDA, MITHUMAJALU, MITHUMAJALU, SAJIPAMUDA, BANTWAL"
KA-ENT-000099,,MYSURU,12.2958,76.6394,570019.0,10796,10,"Manufacture of papads, appalam and similar food products",08/02/2022,"07, HAJIRA  MANZIL, 9TH CROSS, 07, C BLOCK, MYSORE"
KA-ENT-000100,,RAMANAGARA,12.7157,77.2819,562127.0,23954,23,Manufacture of R.C.C. bricks and blocks,07/02/2022,"NO.141/4, INDIRA NAGAR, INDIRA NAGAR ROAD, NO.141/4, INDIRA NAGAR, RAMANAGAR"
KA-ENT-000101,,UDUPI,13.3409,74.7421,576113.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",07/02/2022,"Hiriyadka, Near college, Udupi, Hiriyadka, Udupi, Udupi"
KA-ENT-000102,,DAVANGERE,14.4644,75.9218,577544.0,10802,10,Manufacture of poultry feed,07/02/2022,"DODDAGHATTA, DODDAGHATTA, DODDAGHATTA, DODDAGHATTA, DODDAGHATTA, CHANNAGIRI"
KA-ENT-000103,,UTTAR KANNAD,14.8013,74.1288,581326.0,23104,23,Manufacture of laboratory or pharmaceutical glassware,07/02/2022,"396A, ADITYA DIAGNOSTIC CENTER, KUMTA, 396A, GOKARNA, GOKARNA"
KA-ENT-000104,,BIDAR,17.9104,77.5199,585401.0,10614,10,"Grain milling other than wheat, rice and dal",07/02/2022,"CMC NO. 9-6-39, BEHIND RAIT BHAVAN, GANDHI GUNJ, BIDAR, MAIN ROAD, GANDHI GUNJ, CMC NO. 9-6-39, 0, BIDAR"
KA-ENT-000105,,UDUPI,13.3409,74.7421,576222,10719,10,Manufacture of other bakery products n.e.c.,29/09/2021,"H.No: 2-134, Hombadi, Hunsemakki Post, H.No: 2-134, Hombadi, Kundapura"
KA-ENT-000106,,SHIVAMOGGA,13.9299,75.5681,577427.0,10799,10,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",07/02/2022,"0, SHIKARIPURA, NEAR OLD MARKET, SHIKARIPURA, 0, 0, SHIKARIPURA"
KA-ENT-000107,,BAGALKOT,16.1833,75.7,587301.0,10619,10,Other grain milling and processing n.e.c.,07/02/2022,"SY NO 118/6, OPP- Prabhulingeshwar Sugars, MDL JKD HighWay, SY NO 118/6, 01, Siddapur"
KA-ENT-000108,,BENGALURU (RURAL),13.1986,77.7066,562132.0,10611,10,Flour milling,07/02/2022,"112, OBALAPURA VILLAGE, BESIDE WATER PLANT, 112, THYAMAGONDLU HOBLI, NELAMANGALA"
KA-ENT-000109,,BENGALURU (URBAN),12.9716,77.5946,560057.0,10712,10,"Manufacture of biscuits, cakes, pastries, rusks etc.",07/02/2022,"1st block, Ahammad Cheroor Abbas, Bangalore road, 1st block, Nelamangala, Bangalore"
KA-ENT-000110,,VIJAYAPURA,16.8302,75.71,586203.0,10309,10,Preservation of fruit and vegetables n.e.c.,26/12/2021,"3944, ballawoor, ballawoor, 3944, basavana bagewadi, vijayapur"
KA-ENT-000111,,BENGALURU (RURAL),13.1986,77.7066,562130.0,13122,13,"Weaving, manufacture of silk and silk mixture fabrics.",27/06/2022,"No 7, Prasanna Charipalya, Thavarekere, No 7, Chunchanakuppe, Bengaluru"
KA-ENT-000112,,BENGALURU (URBAN),12.9716,77.5946,560053.0,13999,13,Manufacture of other textiles/textile products n.e.c.,21/09/2021,"42, A S CHAR STREET, NA, 42, NA, BANGALORE"
